"year","GSI"
1954,0.887674811
1955,0.30241699825
1956,-1.20049470825
1957,-0.2408031275
1958,-0.78069404625
1959,-1.32189378175
1960,-1.1819966605
1961,-0.79458222175
1962,-1.04866738475
1963,-1.460764614
1964,-1.26285058325
1965,-0.69506027625
1966,-1.659591675
1967,-1.09529609375
1968,-1.22917316275
1969,-1.1963117935
1970,-1.28549751875
1971,-0.9497783565
1972,-0.64774865325
1973,-0.2784294495
1974,0.26141808575
1975,-0.3565821195
1976,0.253935951
1977,-0.00216212925
1978,-1.1613081775
1979,-0.89039800925
1980,-0.3048694815
1981,-0.42971611525
1982,-0.274570493
1983,0.110527213
1984,0.0906815195
1985,0.6355702095
1986,0.3089005275
1987,-0.86017038825
1988,-0.575807298
1989,-0.2283510465
1990,0.43906453425
1991,0.91537408025
1992,0.490807209
1993,0.51057673675
1994,1.07124979275
1995,1.05217748325
1996,-0.14088628725
1997,-0.07708032475
1998,-0.0374612205
1999,1.17287939975
2000,1.02409471925
2001,1.474896895
2002,1.3556639735
2003,0.1342192555
2004,0.087433879
2005,-0.17190977775
2006,-0.30785785075
2007,-0.59683218125
2008,0.076001215
2009,0.00399861275
2010,0.18608798175
2011,0.723614087
2012,1.11444479525
2013,1.06181569425
2014,2.00971542425
2015,2.2480986995
2016,2.5668027425
2017,2.1754544815
