"years","index"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,-0.415833333333333
27,-1.3425
28,-1.16833333333333
29,-1.18416666666667
30,-0.375
31,-1.46083333333333
32,-0.1675
33,0.0158333333333333
34,0.0141666666666667
35,0.07
36,0.251666666666667
37,0.785833333333333
38,-0.2475
39,1.18666666666667
40,0.594166666666667
41,1.06997201897163e-17
42,0.96
43,1.11833333333333
44,-0.0775
45,-0.551666666666667
46,-0.856666666666667
47,-0.933333333333333
48,0.699166666666667
49,0.973333333333333
50,-0.534166666666667
51,0.32
52,0.61
53,1.22333333333333
54,-0.450833333333333
55,-1.7825
56,-1.13083333333333
57,-1.12916666666667
58,-0.4925
59,0.32
60,-0.354166666666667
61,-0.279166666666667
62,-0.464166666666667
63,-0.778333333333333
64,-1.7475
65,-1.085
66,-1.14833333333333
67,-1.91416666666667
68,-1.655
69,-1.21416666666667
70,0.489166666666667
71,0.944166666666667
72,0.555833333333333
73,-0.101666666666667
74,-0.4525
75,-0.135833333333333
